game_date,visitor_team,visitor_goals,home_team,home_goals,attendance,game_lenght,game_decided
2024-04-18,Seattle Kraken,3,Chicago Blackhawks,4,"17,070",2:34,
2024-04-18,Vegas Golden Knights,4,Edmonton Oilers,5,"18,098",2:37,SO
2024-04-18,St. Louis Blues,1,Minnesota Wild,3,"17,563",2:23,
2024-04-18,New York Islanders,4,New Jersey Devils,5,"16,091",2:26,
2024-04-18,Pittsburgh Penguins,2,Nashville Predators,3,"17,159",2:27,OT
2024-04-18,Carolina Hurricanes,4,Philadelphia Flyers,1,"17,885",2:26,
2024-04-18,Florida Panthers,1,Toronto Maple Leafs,2,"18,508",2:46,SO
2024-04-18,Anaheim Ducks,1,Vancouver Canucks,3,"18,639",2:21,
2024-04-18,Dallas Stars,2,Winnipeg Jets,0,"11,439",2:21,
2024-04-18,Montreal Canadiens,4,Columbus Blue Jackets,2,"14,316",2:12,
2024-04-18,Washington Capitals,2,Los Angeles Kings,1,"18,145",2:23,
2024-04-18,Detroit Red Wings,2,New York Rangers,3,"18,006",2:34,
2024-04-18,Washington Capitals,5,Anaheim Ducks,4,"14,336",2:35,
